W + 1        74         2        132033.0
    1 60964A52B56C54D51G    (0)0(   209.0)            0.0
    2 60964A52B56C55D       (0)0(   124.5)         6320.9
    3 60964A52B56C54D51H    (0)0(   629.5)        39626.1
    4 60964A52B56C53D51G51H (0)0(   719.5)        42665.8
    5 60964A52B56C54D51M    (0)0(   209.0)        70418.4
    6 60964A52B56C54D51I    (0)0(  1049.5)        77233.1
    7 60964A52B56C54D51N    (0)0(   629.5)        81984.7
    8 60964A52B56C54D51E    (0)0(  1469.5)        90588.1
    9 60964A52B56C54D51O    (0)0(  1049.5)        95438.5
   10 60964A52B56C54D51J    (0)0(  1469.5)       101111.9
   11 60964A52B56C54D51P    (0)0(  1469.5)       106774.4
   12 60964A52B56C54D51K    (0)0(  1889.5)       107081.6
   13 60964A52B56C54D51L    (0)0(  2309.5)       107169.4
   14 60964A52B55C55D51G    (0)0(  1511.0)       338177.3
   15 60964A52B55C54D51G51H (0)0(  7559.5)       385627.7
   16 60964A52B55C54D51G51I (0)0( 12599.5)       430400.5
   17 60964A52B55C54D51G51N (0)0(  7559.5)       435415.5
   18 60964A52B55C54D51E51G (0)0( 17639.5)       445324.8
   19 60964A52B55C54D51G51O (0)0( 12599.5)       449988.6
   20 60964A52B55C54D51G51J (0)0( 17639.5)       456155.8
   21 60964A52B55C54D51G51P (0)0( 17639.5)       461928.0
   22 60964A51B56C55D51G    (0)0(   503.0)       655603.3
   23 60964A51B56C54D52G    (0)0(   209.0)       669265.6
   24 60964A51B56C54D51G51H (0)0(  2519.5)       706653.1
   25 60964A51B56C54D51G51M (0)0(   839.0)       743788.2
   26 60964A51B56C54D51G51I (0)0(  4199.5)       751272.3
   27 60964A51B56C54D51G51N (0)0(  2519.5)       756451.9
   12    9 4.59+01 2.27+03 2.28+03 2.30+03 2.37+03 2.51+03 2.93+03 3.49+03 3.90+03 4.20+03 4.63+03 5.15+03 5.78+03 6.30+03 6.55+03
   28    9 1.00-30 2.26+02 2.26+02 2.26+02 2.26+02 2.26+02 2.26+02 2.26+02 2.27+02 2.27+02 2.28+02 2.30+02 2.34+02 2.44+02 2.52+02
   11   10 4.02+00 6.06+04 6.09+04 6.16+04 6.35+04 6.70+04 7.44+04 8.12+04 8.51+04 8.77+04 9.11+04 9.49+04 9.92+04 1.02+05 1.03+05
   12   10 1.99+07 7.19+04 7.29+04 7.52+04 8.18+04 9.70+04 1.42+05 2.02+05 2.49+05 2.87+05 3.47+05 4.33+05 5.64+05 7.09+05 7.97+05
   13   10 2.50+01 1.10+05 1.10+05 1.11+05 1.14+05 1.19+05 1.29+05 1.38+05 1.44+05 1.47+05 1.52+05 1.57+05 1.63+05 1.67+05 1.69+05
   20   10 4.86+09 1.20+03 1.20+03 1.20+03 1.20+03 1.20+03 1.21+03 1.22+03 1.23+03 1.24+03 1.27+03 1.32+03 1.48+03 1.80+03 2.09+03
   12   11 1.09+04 2.57+06 2.72+06 2.97+06 3.39+06 3.89+06 4.64+06 5.25+06 5.62+06 5.87+06 6.24+06 6.72+06 7.39+06 8.09+06 8.52+06
   13   11 3.89-05 1.10+05 1.11+05 1.12+05 1.13+05 1.14+05 1.16+05 1.16+05 1.17+05 1.17+05 1.17+05 1.17+05 1.17+05 1.17+05 1.17+05
   21   11 4.87+09 1.20+03 1.20+03 1.20+03 1.20+03 1.21+03 1.21+03 1.22+03 1.23+03 1.24+03 1.27+03 1.33+03 1.48+03 1.80+03 2.10+03
   13   12 1.40+02 2.94+06 3.13+06 3.39+06 3.77+06 4.19+06 4.74+06 5.17+06 5.43+06 5.61+06 5.91+06 6.27+06 6.83+06 7.40+06 7.74+06
   15   14 1.94+08 2.71+04 2.71+04 2.71+04 2.72+04 2.74+04 2.80+04 2.91+04 3.03+04 3.14+04 3.36+04 3.72+04 4.39+04 5.24+04 5.81+04
   16   14 1.01+03 4.30+03 4.30+03 4.30+03 4.30+03 4.31+03 4.33+03 4.37+03 4.41+03 4.45+03 4.52+03 4.65+03 4.85+03 5.07+03 5.19+03
   17   14 7.65+07 1.77+03 1.77+03 1.77+03 1.77+03 1.77+03 1.79+03 1.82+03 1.85+03 1.88+03 1.95+03 2.07+03 2.31+03 2.65+03 2.89+03
   18   14 2.50+08 2.80+03 2.80+03 2.80+03 2.81+03 2.82+03 2.86+03 2.94+03 3.04+03 3.14+03 3.35+03 3.76+03 4.69+03 6.13+03 7.20+03
   19   14 5.62+02 1.24+03 1.24+03 1.24+03 1.24+03 1.24+03 1.25+03 1.26+03 1.27+03 1.28+03 1.29+03 1.32+03 1.38+03 1.44+03 1.47+03
   20   14 1.88+08 1.68+03 1.68+03 1.68+03 1.68+03 1.69+03 1.71+03 1.75+03 1.80+03 1.85+03 1.96+03 2.18+03 2.68+03 3.47+03 4.06+03
   21   14 1.27+08 1.02+03 1.02+03 1.02+03 1.02+03 1.02+03 1.03+03 1.06+03 1.09+03 1.11+03 1.18+03 1.30+03 1.59+03 2.04+03 2.38+03
   22   14 8.21+10 2.62+03 2.62+03 2.62+03 2.62+03 2.62+03 2.63+03 2.64+03 2.65+03 2.66+03 2.69+03 2.76+03 2.92+03 3.23+03 3.49+03
   16   15 8.07+08 1.16+05 1.17+05 1.17+05 1.17+05 1.18+05 1.23+05 1.31+05 1.40+05 1.49+05 1.65+05 1.93+05 2.45+05 3.13+05 3.58+05
   17   15 1.30+03 1.77+04 1.77+04 1.77+04 1.78+04 1.78+04 1.81+04 1.86+04 1.90+04 1.94+04 2.01+04 2.11+04 2.25+04 2.39+04 2.46+04
   18   15 5.87+03 2.19+04 2.19+04 2.19+04 2.19+04 2.20+04 2.23+04 2.28+04 2.32+04 2.36+04 2.44+04 2.56+04 2.73+04 2.90+04 2.99+04
   19   15 2.53+08 1.82+04 1.82+04 1.82+04 1.82+04 1.83+04 1.87+04 1.95+04 2.02+04 2.10+04 2.26+04 2.53+04 3.05+04 3.75+04 4.22+04
   20   15 2.78+03 7.98+03 7.99+03 7.99+03 8.00+03 8.02+03 8.08+03 8.19+03 8.31+03 8.42+03 8.61+03 8.92+03 9.39+03 9.86+03 1.01+04
   21   15 1.45+03 3.79+03 3.79+03 3.79+03 3.80+03 3.80+03 3.83+03 3.87+03 3.92+03 3.96+03 4.03+03 4.16+03 4.35+03 4.54+03 4.64+03
   24   15 8.41+10 1.30+04 1.30+04 1.30+04 1.30+04 1.30+04 1.30+04 1.31+04 1.32+04 1.32+04 1.34+04 1.37+04 1.45+04 1.60+04 1.73+04
   17   16 6.03+06 8.83+05 8.88+05 8.99+05 9.28+05 9.88+05 1.14+06 1.31+06 1.44+06 1.54+06 1.69+06 1.89+06 2.19+06 2.50+06 2.69+06
   18   16 1.32+08 9.54+05 9.56+05 9.61+05 9.74+05 1.01+06 1.11+06 1.27+06 1.41+06 1.53+06 1.73+06 2.03+06 2.50+06 3.04+06 3.37+06
   19   16 8.16+01 1.02+05 1.02+05 1.02+05 1.03+05 1.04+05 1.08+05 1.13+05 1.18+05 1.21+05 1.26+05 1.32+05 1.39+05 1.45+05 1.48+05
   20   16 6.44+06 6.83+04 6.83+04 6.84+04 6.86+04 6.91+04 7.09+04 7.36+04 7.59+04 7.78+04 8.09+04 8.53+04 9.18+04 9.87+04 1.03+05
   21   16 2.97+05 1.73+04 1.73+04 1.73+04 1.73+04 1.74+04 1.76+04 1.78+04 1.80+04 1.82+04 1.85+04 1.88+04 1.93+04 1.97+04 1.99+04
   18   17 1.55+01 2.31+05 2.31+05 2.32+05 2.33+05 2.35+05 2.42+05 2.48+05 2.53+05 2.56+05 2.59+05 2.64+05 2.69+05 2.73+05 2.74+05
